id,date,NH4,BSK5,Suspended,O2,NO3,NO2,SO4,PO4,CL
3,10.08.2004,0.029,2.3,7.8,7.8,3.64,0.041,105.1,0.4,50.1
3,27.09.2004,0.021,5.85,26.8,8.87,3.7,0.032,97,0.88,41.12
3,19.10.2004,0.013,2,0,10.36,4.52,0.058,79.1,0.76,36.9
3,02.11.2004,0.007,1.34,10.4,9.8,4.08,0.028,68,0.57,39.7
3,16.12.2004,0.023,2.19,6.1,15.09,7.29,0.029,75.84,0.5,38.28
3,13.01.2005,0,1.63,11.6,12.98,9.45,0.036,105.6,0.3,41.12
3,07.02.2005,0,1.59,9.8,13.2,7,0.04,104.2,0.29,41.12
3,10.03.2005,0,1.5,7.5,13.37,9.4,0.035,91.2,0.22,56.72
3,07.04.2005,0.065,2.93,27.2,12.57,5.47,0.033,98.4,0.052,28.12
3,12.05.2005,0.05,1.5,1.6,9.42,3.65,0.11,96.48,0.13,28.08
3,08.06.2005,0,1.22,4.8,7.56,4.71,0.021,121.9,0.57,29.5
3,20.07.2005,0.007,1.14,24.4,7.53,3.65,0.025,79,0.65,43.52
3,10.08.2005,0,2.81,11.6,8.62,2.3,0.009,102.1,0.7,36.5
3,19.09.2005,0.075,1.17,12.8,8.29,2.75,0.023,46.72,0.77,36.5
3,24.10.2005,0.09,1.28,8.8,9.29,3.04,0.042,52.48,0.51,35.1
3,15.11.2005,0,1.11,2.4,11.7,8.21,0.03,61.3,0.46,37.9
3,12.12.2005,0,1.35,10.44,13.44,8.76,0.04,99,0.35,42.12
3,16.01.2006,0,1.62,3.4,13.4,8.48,0.018,74.3,0.35,40.4
3,09.02.2006,0.063,1.54,4,13.64,14.72,0.016,78.08,0.37,43.5
3,15.03.2006,0,2.39,66.8,13.1,13.71,0.061,114.2,0.35,44.9
3,05.04.2006,0.038,1.08,50.8,11.1,8.97,0.032,37.12,0.3,21.27
3,12.05.2006,0,4.97,30.4,12.37,1.18,0.035,71.04,0.016,28.4
3,07.06.2006,0.017,2.15,19.6,7.83,4.33,0.077,80.16,0.38,31.2
3,13.07.2006,0.06,1.72,15.2,7.37,2.54,0.025,84.43,0.5,32.61
3,28.08.2006,0.041,1.62,20.4,8.02,2.45,0.021,98.4,0.49,46.5
3,28.09.2006,0,1.08,0,9,4.35,0.009,57.12,0.47,30.7
3,12.10.2006,0.012,1.18,2.4,9.13,6.97,0,60.96,0.52,34
3,21.11.2006,0.005,1.56,5.2,12.9,3.89,0.035,58.1,0.27,34.03
3,06.12.2006,0,1.14,4,11.82,7.91,0.032,60.96,0.25,41.1
